timestamp,open,high,low,close,volume
1639660200000,23.01349,23.0721,23.01349,23.01349,7208877.0
1639660500000,23.01349,23.05256,23.01349,23.05256,5602169.0
1639660800000,23.05256,23.09163,23.03303,23.09163,11621100.0
1639661100000,23.0721,23.13071,23.05256,23.11117,10181490.0
1639661400000,23.13071,23.13071,23.05256,23.05256,9162670.0
1639661700000,23.05256,23.09163,23.05256,23.09163,4298268.0
1639662000000,23.0721,23.13071,23.0721,23.11117,8654782.0
1639662300000,23.09163,23.13071,23.0721,23.09163,10088660.0
1639662600000,23.09163,23.13071,23.0721,23.11117,9835204.0
1639662900000,23.09163,23.13071,23.05256,23.09163,12891660.0
1639663200000,23.09163,23.3456,23.09163,23.22839,109767800.0
1639663500000,23.22839,23.3456,23.18931,23.32607,54548110.0
1639663800000,23.32607,23.71679,23.30653,23.67772,169157100.0
1639664100000,23.67772,23.67772,23.40421,23.40421,81492040.0
1639664400000,23.40421,23.50189,23.36514,23.44328,49718820.0
1639664700000,23.46282,23.59957,23.44328,23.48236,56597610.0
1639665000000,23.48236,23.48236,23.40421,23.44328,28900690.0
1639665300000,23.44328,23.44328,23.38468,23.42375,26548260.0
1639665600000,23.42375,23.52143,23.42375,23.48236,21735570.0
1639665900000,23.50189,23.50189,23.42375,23.50189,26745310.0
1639666200000,23.50189,23.5605,23.48236,23.54097,49914390.0
1639666500000,23.54097,23.5605,23.48236,23.52143,59839210.0
1639666800000,23.52143,23.73632,23.48236,23.73632,109575100.0
1639667100000,23.73632,23.79493,23.5605,23.67772,86959960.0
1639667400000,23.67772,23.71679,23.59957,23.63865,40068230.0
1639667700000,23.65818,23.67772,23.58004,23.59957,37581760.0
1639668000000,23.59957,23.61911,23.52143,23.5605,34124710.0
1639668300000,23.54097,23.5605,23.48236,23.50189,44062070.0
1639668600000,23.50189,23.5605,23.48236,23.5605,20053360.0
1639668900000,23.5605,23.59957,23.52143,23.5605,30358490.0
1639669200000,23.54097,23.59957,23.50189,23.5605,28445950.0
1639669500000,23.5605,23.63865,23.54097,23.58004,22311740.0
1639669800000,23.58004,23.58004,23.54097,23.58004,9949895.0
1639670100000,23.5605,23.63865,23.5605,23.59957,25510910.0
1639670400000,23.61911,23.63865,23.5605,23.58004,15345610.0
1639670700000,23.58004,23.59957,23.54097,23.58004,11297380.0
1639671000000,23.58004,23.65818,23.58004,23.63865,36244260.0
1639671300000,23.61911,23.63865,23.58004,23.63865,17284430.0
1639671600000,23.63865,23.67772,23.61911,23.65818,18883090.0
1639671900000,23.67772,23.67772,23.63865,23.63865,22513300.0
1639672200000,23.65818,23.67772,23.63865,23.67772,22824250.0
1639672500000,23.65818,24.2638,23.65818,24.12705,190106700.0
1639672800000,24.12705,24.14658,23.97076,24.0489,98714860.0
1639673100000,24.0489,24.06844,23.93169,24.00983,41673170.0
1639673400000,24.00983,24.00983,23.93169,23.99029,22258620.0
1639673700000,23.99029,24.0489,23.97076,24.0489,30777470.0
1639674000000,24.0489,24.0489,23.99029,24.02937,27424450.0
1639674300000,24.00983,24.02937,23.97076,24.00983,11487520.0
1639674600000,23.99029,24.08797,23.91215,24.08797,59885580.0
1639674900000,24.08797,24.10751,24.02937,24.06844,20461200.0
1639675200000,24.06844,24.10751,24.0489,24.06844,28509790.0
1639675500000,24.08797,24.10751,24.00983,24.08797,27386370.0
1639675800000,24.08797,24.10751,23.99029,24.06844,32740140.0
1639676100000,24.0489,24.24426,24.02937,24.16612,89575060.0
1639676400000,24.16612,24.22473,24.10751,24.18566,35290140.0
1639676700000,24.20519,24.43962,24.18566,24.40055,116509300.0
1639677000000,24.40055,24.43962,24.32241,24.40055,61619710.0
1639677300000,24.38101,24.49823,24.32241,24.47869,73074610.0
1639735200000,25.04524,25.68993,25.04524,25.27967,212854700.0
1639735500000,25.26014,25.35782,25.182,25.29921,105383500.0
1639735800000,25.27967,25.35782,25.26014,25.35782,67922500.0
1639736100000,25.31875,25.35782,25.26014,25.27967,73895390.0
1639736400000,25.29921,25.35782,25.27967,25.33828,93316450.0
1639736700000,25.33828,25.35782,25.22107,25.26014,70884220.0
1639737000000,25.26014,25.47503,25.16246,25.4555,117985400.0
1639737300000,25.47503,25.55318,25.37735,25.37735,100317200.0
1639737600000,25.41643,25.49457,25.33828,25.49457,30607990.0
1639737900000,25.49457,25.51411,25.35782,25.37735,38986780.0
1639738200000,25.39689,25.43596,25.31875,25.31875,34819190.0
1639738500000,25.33828,25.41643,25.31875,25.35782,30859160.0
1639738800000,25.37735,25.41643,25.33828,25.35782,25989380.0
1639739100000,25.35782,25.39689,25.26014,25.39689,52525190.0
1639739400000,25.39689,25.39689,25.27967,25.29921,33127850.0
1639739700000,25.29921,25.33828,25.20153,25.27967,47526320.0
1639740000000,25.29921,25.31875,25.2406,25.2406,34452180.0
1639740300000,25.26014,25.27967,25.2406,25.26014,32470890.0
1639740600000,25.27967,25.35782,25.22107,25.33828,39123420.0
1639740900000,25.33828,25.39689,25.31875,25.37735,27716890.0
1639741200000,25.39689,25.39689,25.31875,25.39689,29733240.0
1639741500000,25.39689,25.39689,25.29921,25.35782,43317370.0
1639741800000,25.35782,25.41643,25.33828,25.35782,46384740.0
1639742100000,25.33828,25.39689,25.33828,25.39689,12709320.0
1639742400000,25.39689,25.43596,25.31875,25.41643,55796110.0
1639742700000,25.43596,25.43596,25.33828,25.35782,19168710.0
1639743000000,25.35782,25.37735,25.31875,25.33828,18639270.0
1639743300000,25.33828,25.39689,25.33828,25.37735,17160160.0
1639743600000,25.37735,25.41643,25.35782,25.41643,22835980.0
1639743900000,25.41643,25.55318,25.39689,25.47503,94841830.0
1639744200000,25.4555,25.49457,25.4555,25.47503,22469690.0
1639744500000,25.47503,25.49457,25.4555,25.49457,21275310.0
1639744800000,25.49457,25.57272,25.43596,25.49457,66429780.0
1639745100000,25.49457,25.49457,25.43596,25.47503,25655000.0
1639745400000,25.47503,25.49457,25.43596,25.49457,23151000.0
1639745700000,25.49457,25.55318,25.47503,25.53364,31299400.0
1639746000000,25.55318,25.68993,25.53364,25.6704,91585570.0
1639746300000,25.6704,25.78761,25.61179,25.68993,115126800.0
1639746600000,25.68993,25.74854,25.6704,25.70947,26236150.0
1639746900000,25.68993,26.04158,25.6704,25.90483,131931800.0
1639747200000,25.92437,25.98297,25.78761,25.82668,46384030.0
1639747500000,25.80715,25.84622,25.4555,25.57272,116411900.0
1639747800000,25.57272,25.6704,25.12338,25.2406,164676200.0
1639748100000,25.22107,25.51411,25.20153,25.43596,73677260.0
1639748400000,25.43596,25.4555,25.16246,25.2406,85105980.0
1639748700000,25.26014,25.31875,25.12338,25.182,61437240.0
